t [days], x [Au], y [Au], z [Au]
0.0,1.0087323243803357,0.026028031304087255,0.0
0.5,1.007905777218985,0.052048047281887076,0.0
1.0,1.0064087456458164,0.07804274782164759,0.0
1.5,1.0042423458830096,0.1039948620884835,0.0
2.0,1.0014081398065446,0.12988716011116846,0.0
2.5,0.997908134041853,0.15570246439369834,0.0
3.0,0.9937447787465329,0.18142366154275957,0.0
3.5,0.9889209660765866,0.20703371390193695,0.0
4.0,0.9834400283329402,0.2325156711832009,0.0
4.5,0.977305735785334,0.2578526820859359,0.0
5.0,0.9705222941710242,0.2830280058935026,0.0
5.5,0.963094341866086,0.30802502403707316,0.0
6.0,0.9550269467275032,0.33282725161623955,0.0
6.5,0.9463256026046231,0.35741834886567414,0.0
7.0,0.9369962255189713,0.38178213255691396,0.0
7.5,0.9270451495118577,0.4059025873241567,0.0
8.0,0.9164791221596433,0.4297638769027872,0.0
8.5,0.9053052997570123,0.4533503552692111,0.0
9.0,0.8935312421690561,0.47664657767044366,0.0
9.5,0.8811649073534673,0.4996373115318063,0.0
10.0,0.8682146455546409,0.5223075472310006,0.0
10.5,0.854689193171982,0.5446425087267823,0.0
11.0,0.84059766630524,0.5666276640304275,0.0
11.5,0.8259495539802025,0.5882487355081812,0.0
12.0,0.8107547110586188,0.6094917100029088,0.0
12.5,0.7950233508367457,0.6303428487632183,0.0
13.0,0.7787660373374454,0.6507886971684073,0.0
13.5,0.7619936773012989,0.6708160942376915,0.0
14.0,0.7447175118827262,0.690412181912317,0.0
14.5,0.7269491080576451,0.7095644140993148,0.0
15.0,0.708700349749711,0.7282605654658584,0.0
15.5,0.6899834286827154,0.7464887399734016,0.0
16.0,0.6708108349672222,0.7642373791410306,0.0
16.5,0.6511953474300257,0.7814952700277413,0.0
17.0,0.631150023695512,0.7982515529236547,0.0
17.5,0.610688190028473,0.8144957287405274,0.0
18.0,0.5898234309483965,0.8302176660922668,0.0
18.5,0.5685695786256989,0.8454076080565475,0.0
19.0,0.5469407020707984,0.8600561786090436,0.0
19.5,0.524951096127337,0.8741543887222191,0.0
20.0,0.5026152702812547,0.8876936421210798,0.0
20.5,0.4799479372977803,0.9006657406887755,0.0
21.0,0.45696400169875223,0.9130628895154334,0.0
21.5,0.43367854809300793,0.9248777015841315,0.0
22.0,0.41010682937286147,0.9361032020884585,0.0
22.5,0.38626425478997095,0.9467328323766552,0.0
23.0,0.3621663779241258,0.9567604535179087,0.0
23.5,0.3378288845587001,0.9661803494869544,0.0
24.0,0.31326758047669473,0.9749872299637271,0.0
24.5,0.2884983791914452,0.9831762327454149,0.0
25.0,0.2635372896261862,0.99074292576888,0.0
25.5,0.23840040375675559,0.9976833087420237,0.0
26.0,0.2131038842317743,1.003993814383304,0.0
26.5,0.18766395198466213,1.0096713092692318,0.0
27.0,0.16209687385184174,1.0147130942903042,0.0
27.5,0.13641895021144265,1.0191169047164508,0.0
28.0,0.11064650265674404,1.0228809098736937,0.0
28.5,0.08479586171849181,1.0260037124343426,0.0
29.0,0.05888335465008939,1.028484347323645,0.0
29.5,0.032925293289496685,1.030322280246422,0.0
30.0,0.006937962011474224,1.0315174058378072,0.0
30.5,-0.019062394216414816,1.0320700454427805,0.0
31.0,-0.04505958166088671,1.0319809445297596,0.0
31.5,-0.07103746952022678,1.0312512697440552,0.0
32.0,-0.09698000147921798,1.0298826056075308,0.0
32.5,-0.12287120710947344,1.027876950871321,0.0
33.0,-0.14869521310329603,1.0252367145289607,0.0
33.5,-0.1744362543295677,1.0219647114977335,0.0
