t [days], x [Au], y [Au], z [Au]
0.0,2.357673635910916,0.0058268141354194765,0.0
0.5,2.3576463366019955,0.011653594509797242,0.0
1.0,2.357605387641206,0.01748030736158101,0.0
1.5,2.357550789131767,0.023306918928842697,0.0
2.0,2.3574825412530167,0.02913339544941325,0.0
2.5,2.3574006442604207,0.034959703161017465,0.0
3.0,2.357305098485572,0.040785808301408856,0.0
3.5,2.357195904336195,0.046611677108504515,0.0
4.0,2.357073062296149,0.05243727582052001,0.0
4.5,2.35693657292543,0.05826257067610431,0.0
5.0,2.356786436860176,0.06408752791447472,0.0
5.5,2.3566226548126683,0.0699121137755519,0.0
6.0,2.356445227571334,0.07573629450009482,0.0
6.5,2.3562541560007504,0.0815600363298358,0.0
7.0,2.3560494410416464,0.0873833055076156,0.0
7.5,2.3558310837109073,0.09320606827751848,0.0
8.0,2.3555990851015745,0.0990282908850074,0.0
8.5,2.3553534463828503,0.1048499395770591,0.0
9.0,2.3550941688001004,0.11067098060229931,0.0
9.5,2.354821253674856,0.1164913802111381,0.0
10.0,2.3545347024048167,0.122311104655905,0.0
10.5,2.354234516463851,0.1281301201909844,0.0
11.0,2.3539206974020024,0.13394839307295095,0.0
11.5,2.353593246845489,0.13976588956070485,0.0
12.0,2.353252166496705,0.14558257591560736,0.0
12.5,2.3528974581342275,0.1513984184016163,0.0
13.0,2.352529123612812,0.15721338328542156,0.0
13.5,2.3521471648634016,0.1630274368365807,0.0
14.0,2.3517515838931233,0.1688405453276545,0.0
14.5,2.351342382785293,0.17465267503434276,0.0
15.0,2.3509195636994176,0.18046379223561992,0.0
15.5,2.350483128871195,0.18627386321387096,0.0
16.0,2.3500330806125187,0.19208285425502708,0.0
16.5,2.349569421311477,0.19789073164870172,0.0
17.0,2.3490921534323563,0.20369746168832642,0.0
17.5,2.3486012795156426,0.20950301067128685,0.0
18.0,2.348096802178023,0.21530734489905884,0.0
18.5,2.3475787241123878,0.22111043067734457,0.0
19.0,2.347047048087831,0.22691223431620858,0.0
19.5,2.346501776949652,0.23271272213021416,0.0
20.0,2.3459429136193592,0.23851186043855957,0.0
20.5,2.3453704610946686,0.24430961556521438,0.0
21.0,2.3447844224495062,0.250105953839056,0.0
21.5,2.344184800834011,0.2559008415940059,0.0
22.0,2.343571599474532,0.2616942451691665,0.0
22.5,2.3429448216736355,0.2674861309089576,0.0
23.0,2.3423044708100997,0.27327646516325305,0.0
23.5,2.3416505503389216,0.2790652142875174,0.0
24.0,2.3409830637913136,0.284852344642943,0.0
24.5,2.340302014774708,0.29063782259658666,0.0
25.0,2.3396074069727546,0.2964216145215067,0.0
25.5,2.3388992441453245,0.3022036867969,0.0
26.0,2.338177530128509,0.307984005808239,0.0
26.5,2.337442268834622,0.3137625379474089,0.0
27.0,2.3366934642521993,0.31953924961284513,0.0
27.5,2.335931120446,0.32531410720967036,0.0
28.0,2.3351552415570063,0.3310870771498321,0.0
28.5,2.3343658318024256,0.3368581258522403,0.0
29.0,2.33356289547569,0.34262721974290444,0.0
29.5,2.3327464369464566,0.34839432525507175,0.0
30.0,2.3319164606606084,0.35415940882936464,0.0
30.5,2.3310729711402542,0.35992243691391845,0.0
31.0,2.330215972983729,0.36568337596451955,0.0
31.5,2.3293454708655945,0.37144219244474314,0.0
32.0,2.3284614695366397,0.37719885282609134,0.0
32.5,2.3275639738238794,0.38295332358813144,0.0
33.0,2.3266529886305563,0.388705571218634,0.0
33.5,2.3257285189361383,0.3944555622137113,0.0
34.0,2.324790569796322,0.4002032630779555,0.0
34.5,2.3238391463430297,0.40594864032457745,0.0
35.0,2.32287425378441,0.4116916604755451,0.0
35.5,2.3218958974048385,0.4174322900617221,0.0
36.0,2.320904082564916,0.4231704956230069,0.0
36.5,2.3198988147014687,0.4289062437084711,0.0
37.0,2.318880099327549,0.43463950087649894,0.0
37.5,2.317847942032432,0.44037023369492595,0.0
38.0,2.316802348481619,0.4460984087411784,0.0
38.5,2.3157433244168337,0.4518239926024122,0.0
39.0,2.3146708756560215,0.45754695187565253,0.0
39.5,2.313585008093351,0.46326725316793327,0.0
40.0,2.312485727699212,0.4689848630964363,0.0
40.5,2.3113730405202144,0.47469974828863143,0.0
41.0,2.3102469526791864,0.48041187538241586,0.0
41.5,2.3091074703751753,0.48612121102625433,0.0
42.0,2.3079545998834456,0.49182772187931895,0.0
42.5,2.3067883475554782,0.49753137461162894,0.0
43.0,2.305608719818967,0.5032321359041915,0.0
43.5,2.304415723177821,0.5089299724491411,0.0
44.0,2.30320936421216,0.5146248509498809,0.0
44.5,2.3019896495783163,0.5203167381212223,0.0
45.0,2.300756586008829,0.5260056006895263,0.0
45.5,2.299510180312446,0.5316914053928435,0.0
46.0,2.298250439374121,0.5373741189810557,0.0
46.5,2.2969773701550107,0.5430537082160161,0.0
47.0,2.2956909796924747,0.5487301398716905,0.0
47.5,2.294391275100074,0.5544033807342991,0.0
48.0,2.2930782635675655,0.5600733976024564,0.0
48.5,2.291751952360904,0.5657401572873144,0.0
49.0,2.2904123488222385,0.5714036266127024,0.0
49.5,2.2890594603699093,0.5770637724152695,0.0
50.0,2.2876932944984465,0.5827205615446263,0.0
50.5,2.286313858778567,0.5883739608634866,0.0
51.0,2.2849211608571736,0.5940239372478092,0.0
51.5,2.2835152084573496,0.5996704575869406,0.0
52.0,2.282096009378359,0.6053134887837563,0.0
52.5,2.2806635714956434,0.6109529977548043,0.0
53.0,2.279217902760817,0.6165889514304463,0.0
53.5,2.2777590112016646,0.6222213167550014,0.0
54.0,2.2762869049221415,0.6278500606868882,0.0
54.5,2.2748015921023663,0.6334751501987677,0.0
55.0,2.2733030809986206,0.6390965522776864,0.0
55.5,2.2717913799433433,0.6447142339252196,0.0
56.0,2.2702664973451303,0.6503281621576144,0.0
56.5,2.268728441688728,0.6559383040059326,0.0
57.0,2.2671772215350323,0.6615446265161954,0.0
57.5,2.2656128455210838,0.6671470967495261,0.0
58.0,2.264035322360063,0.6727456817822939,0.0
58.5,2.2624446608412887,0.6783403487062584,0.0
59.0,2.2608408698302127,0.6839310646287128,0.0
59.5,2.259223958268417,0.689517796672629,0.0
60.0,2.257593935173608,0.6951005119768012,0.0
60.5,2.255950809639613,0.7006791776959908,0.0
61.0,2.2542945908363765,0.7062537610010705,0.0
61.5,2.252625288009955,0.7118242290791698,0.0
62.0,2.2509429104825136,0.7173905491338192,0.0
62.5,2.249247467652319,0.7229526883850955,0.0
63.0,2.247538968993739,0.7285106140697668,0.0
63.5,2.245817424057232,0.7340642934414384,0.0
64.0,2.2440828424693477,0.7396136937706974,0.0
64.5,2.2423352339327183,0.745158782345259,0.0
65.0,2.2405746082260554,0.7506995264701116,0.0
65.5,2.2388009752041422,0.7562358934676638,0.0
66.0,2.2370143447978323,0.7617678506778891,0.0
66.5,2.23521472701404,0.767295365458473,0.0
67.0,2.233402131935737,0.772818405184959,0.0
67.5,2.2315765697219465,0.7783369372508956,0.0
68.0,2.229738050607737,0.783850929067982,0.0
68.5,2.2278865849042155,0.7893603480662161,0.0
69.0,2.2260221829985243,0.7948651616940408,0.0
69.5,2.224144855353831,0.8003653374184906,0.0
70.0,2.222254612509326,0.8058608427253404,0.0
70.5,2.2203514650802116,0.8113516451192515,0.0
71.0,2.218435423757702,0.81683771212392,0.0
71.5,2.216506499309009,0.8223190112822241,0.0
72.0,2.2145647025773414,0.8277955101563726,0.0
72.5,2.2126100444818944,0.8332671763280526,0.0
73.0,2.2106425360178443,0.8387339773985774,0.0
73.5,2.208662188256341,0.8441958809890359,0.0
74.0,2.2066690123445016,0.8496528547404403,0.0
74.5,2.2046630195054,0.8551048663138753,0.0
75.0,2.202644221038063,0.8605518833906467,0.0
75.5,2.20061262831746,0.8659938736724309,0.0
76.0,2.198568252794497,0.8714308048814235,0.0
76.5,2.1965111059960085,0.8768626447604899,0.0
77.0,2.194441199524747,0.8822893610733135,0.0
77.5,2.192358545059378,0.8877109216045461,0.0
78.0,2.190263154354471,0.8931272941599581,0.0
78.5,2.1881550392404874,0.8985384465665882,0.0
79.0,2.186034211623778,0.903944346672894,0.0
79.5,2.183900683486569,0.9093449623489019,0.0
80.0,2.1817544668869564,0.9147402614863585,0.0
80.5,2.179595573958895,0.9201302119988806,0.0
81.0,2.1774240169121897,0.925514781822107,0.0
81.5,2.175239808032487,0.9308939389138491,0.0
82.0,2.1730429596812644,0.9362676512542422,0.0
82.5,2.1708334842958217,0.9416358868458976,0.0
83.0,2.1686113943892704,0.9469986137140536,0.0
83.5,2.166376702550524,0.9523557999067279,0.0
84.0,2.1641294214442888,0.9577074134948693,0.0
84.5,2.1618695638110523,0.9630534225725105,0.0
85.0,2.1595971424670735,0.9683937952569196,0.0
85.5,2.1573121703043725,0.9737284996887536,0.0
86.0,2.1550146602907194,0.9790575040322109,0.0
86.5,2.1527046254696245,0.9843807764751845,0.0
87.0,2.150382078960325,0.9896982852294142,0.0
87.5,2.1480470339577766,0.9950099985306414,0.0
88.0,2.145699503732639,1.0003158846387619,0.0
88.5,2.143339501631269,1.005615911837979,0.0
89.0,2.1409670410757036,1.0109100484369593,0.0
89.5,2.1385821355636514,1.0161982627689847,0.0
90.0,2.1361847986684803,1.0214805231921085,0.0
90.5,2.1337750440392043,1.026756798089308,0.0
91.0,2.1313528854004726,1.0320270558686415,0.0
91.5,2.1289183365525544,1.037291264963401,0.0
92.0,2.1264714113713294,1.042549393832269,0.0
92.5,2.124012123808274,1.0478014109594729,0.0
93.0,2.1215404878904462,1.0530472848549406,0.0
93.5,2.119056517720476,1.058286984054456,0.0
94.0,2.116560227476548,1.0635204771198155,0.0
94.5,2.1140516314123916,1.0687477326389836,0.0
95.0,2.1115307438572644,1.0739687192262493,0.0
95.5,2.10899757921594,1.0791834055223826,0.0
96.0,2.106452151968693,1.084391760194791,0.0
96.5,2.103894476671286,1.0895937519376766,0.0
97.0,2.1013245679549524,1.0947893494721934,0.0
97.5,2.0987424405263844,1.0999785215466038,0.0
98.0,2.096148109167717,1.105161236936437,0.0
98.5,2.093541588736514,1.1103374644446462,0.0
99.0,2.09092289416575,1.1155071729017665,0.0
99.5,2.088292040463799,1.120670331166073,0.0
100.0,2.085649042714415,1.12582690812374,0.0
100.5,2.082993916076719,1.1309768726889973,0.0
101.0,2.0803266757851806,1.1361201938042917,0.0
101.5,2.0776473371496036,1.1412568404404442,0.0
102.0,2.074955915555109,1.1463867815968092,0.0
102.5,2.0722524264621187,1.1515099863014344,0.0
103.0,2.069536885406337,1.1566264236112207,0.0
103.5,2.0668093079987355,1.1617360626120807,0.0
104.0,2.0640697099255356,1.1668388724191,0.0
104.5,2.06131810694819,1.1719348221766963,0.0
105.0,2.0585545149033653,1.1770238810587812,0.0
105.5,2.055778949702926,1.1821060182689191,0.0
106.0,2.0529914273339136,1.1871812030404898,0.0
106.5,2.0501919638585293,1.192249404636848,0.0
107.0,2.0473805754141177,1.1973105923514857,0.0
107.5,2.044557278213143,1.202364735508193,0.0
108.0,2.041722088543176,1.2074118034612202,0.0
108.5,2.0388750227668706,1.2124517655954399,0.0
109.0,2.0360160973219465,1.2174845913265082,0.0
109.5,2.0331453287211687,1.2225102501010288,0.0
110.0,2.030262733552328,1.227528711396713,0.0
110.5,2.0273683284782202,1.2325399447225451,0.0
111.0,2.024462130236627,1.2375439196189442,0.0
111.5,2.021544155640295,1.2425406056579271,0.0
112.0,2.0186144215769146,1.2475299724432727,0.0
112.5,2.0156729450090993,1.2525119896106847,0.0
113.0,2.012719742974364,1.2574866268279563,0.0
113.5,2.009754832585104,1.2624538537951346,0.0
114.0,2.0067782310285733,1.267413640244683,0.0
114.5,2.0037899555668623,1.2723659559416485,0.0
115.0,2.000790023536876,1.2773107706838245,0.0
115.5,1.9977784523503113,1.2822480543019166,0.0
116.0,1.9947552594936342,1.2871777766597077,0.0
116.5,1.991720462528057,1.2920999076542234,0.0
117.0,1.9886740790895148,1.2970144172158984,0.0
117.5,1.9856161268886434,1.301921275308741,0.0
118.0,1.9825466237107539,1.306820451930501,0.0
118.5,1.9794655874158091,1.311711917112834,0.0
119.0,1.9763730359384006,1.3165956409214703,0.0
